epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1203.78,0.7777,0.7591,1.19685,0.7574,0.68523,0.69274,0.49099,1.13263,1.24048,1.62094,0.000810363,0.000810363,0.000810363
43,1232.54,0.78783,0.74448,1.19471,0.74884,0.64314,0.69467,0.49863,1.11201,1.26198,1.59046,0.000803031,0.000803031,0.000803031
44,1260.63,0.76392,0.72214,1.18269,0.7241,0.65763,0.69998,0.51127,1.13439,1.27848,1.60603,0.000795698,0.000795698,0.000795698
45,1288.85,0.74902,0.71389,1.17741,0.65443,0.59051,0.63661,0.45579,1.15901,1.37436,1.62969,0.000788366,0.000788366,0.000788366
46,1317.2,0.73606,0.71439,1.16027,0.74694,0.60719,0.66113,0.46854,1.1855,1.4308,1.68998,0.000781033,0.000781033,0.000781033
47,1345.87,0.7523,0.72006,1.17221,0.73466,0.59512,0.67695,0.48893,1.18257,1.39799,1.6517,0.0007737,0.0007737,0.0007737
48,1375.12,0.73984,0.68948,1.1594,0.78438,0.61081,0.69228,0.48475,1.14227,1.25896,1.62098,0.000766368,0.000766368,0.000766368
49,1403.39,0.73314,0.70825,1.16329,0.76571,0.587,0.66722,0.47592,1.16218,1.30261,1.66868,0.000759035,0.000759035,0.000759035
50,1432.08,0.72696,0.68737,1.15707,0.6889,0.61852,0.6735,0.48619,1.15413,1.43941,1.67102,0.000751703,0.000751703,0.000751703
51,1460.37,0.71369,0.67081,1.14046,0.82221,0.61543,0.71249,0.50178,1.15401,1.18814,1.63905,0.00074437,0.00074437,0.00074437
52,1489.19,0.71746,0.68258,1.15543,0.70796,0.67586,0.69849,0.49885,1.12561,1.23427,1.60471,0.000737037,0.000737037,0.000737037
53,1517.81,0.7025,0.65272,1.1379,0.73816,0.69216,0.71698,0.52111,1.10003,1.19716,1.59821,0.000729705,0.000729705,0.000729705
